tick,z,x,y,speed,yvel,xvel,side_push,fuel,oxy,on_ground,jumping,on_ice,on_sticky,over_hole,tile,end_state,expl,end_frames,ap_delta,ap_light,edge_dist,fly,sfx
72,544008,44062,11385,8901,-1,29,0,29249,29424,0,0,0,0,1,0,0,0,0,0,0,32767,0,0
73,552984,44658,11269,8976,-116,29,0,29229,29416,0,0,0,0,1,0,0,0,0,0,0,32767,0,0
74,562035,45259,11038,9051,-231,29,0,29209,29408,0,0,0,0,1,0,0,0,0,0,0,32767,0,0
75,571161,45864,10692,9126,-346,29,0,29189,29400,0,0,0,0,1,0,0,0,0,0,0,32767,0,0
76,580362,46473,10231,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,0,0,0,32767,0,0
77,589563,47082,9770,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,1,0,0,32767,0,0
78,598764,47691,9309,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,2,0,0,32767,0,0
79,607965,48300,8848,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,3,0,0,32767,0,0
80,617166,48909,8387,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,4,0,0,32767,0,0
81,626367,49518,7926,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,5,0,0,32767,0,0
82,635568,50127,7465,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,6,0,0,32767,0,0
83,644769,50736,7004,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,7,0,0,32767,0,0
84,653970,51345,6543,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,8,0,0,32767,0,0
85,663171,51954,6082,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,9,0,0,32767,0,0
86,672372,52563,5621,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,10,0,0,32767,0,0
87,681573,53172,5160,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,11,0,0,32767,0,0
88,690774,53781,4699,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,12,0,0,32767,0,0
89,699975,54390,4238,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,13,0,0,32767,0,0
90,709176,54999,3777,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,14,0,0,32767,0,0
91,718377,55608,3316,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,15,0,0,32767,0,0
92,727578,56217,2855,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,16,0,0,32767,0,0
93,736779,56826,2394,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,17,0,0,32767,0,0
94,745980,57435,1933,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,18,0,0,32767,0,0
95,755181,58044,1472,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,19,0,0,32767,0,0
96,764382,58653,1011,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,20,0,0,32767,0,0
97,773583,59262,550,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,21,0,0,32767,0,0
98,782784,59871,89,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,22,0,0,32767,0,0
99,791985,60480,0,9201,-461,29,0,29169,29392,0,0,0,0,1,0,3,0,23,0,0,32767,0,0
100,801186,61089,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,24,0,0,32767,0,0
101,810387,61698,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,25,0,0,32767,0,0
102,819588,62307,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,26,0,0,32767,0,0
103,828789,62916,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,27,0,0,32767,0,0
104,837990,63525,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,28,0,0,32767,0,0
105,847191,64134,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,29,0,0,32767,0,0
106,856392,64743,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,30,0,0,32767,0,0
107,865593,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,31,0,0,32767,0,0
108,874794,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,32,0,0,32767,0,0
109,883995,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,33,0,0,32767,0,0
110,893196,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,34,0,0,32767,0,0
111,902397,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,35,0,0,32767,0,0
112,911598,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,36,0,0,32767,0,0
113,920799,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,37,0,0,32767,0,0
114,930000,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,38,0,0,32767,0,0
115,939201,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,39,0,0,32767,0,0
116,948402,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,40,0,0,32767,0,0
117,957603,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,41,0,0,32767,0,0
118,966804,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,42,0,0,32767,0,0
119,976005,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,43,0,0,32767,0,0
120,985206,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,44,0,0,32767,0,0
121,994407,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,45,0,0,32767,0,0
122,1003608,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,46,0,0,32767,0,0
123,1012809,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,47,0,0,32767,0,0
124,1022010,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,48,0,0,32767,0,0
125,1031211,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,49,0,0,32767,0,0
126,1040412,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,50,0,0,32767,0,0
127,1049613,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,51,0,0,32767,0,0
128,1058814,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,52,0,0,32767,0,0
129,1068015,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,53,0,0,32767,0,0
130,1077216,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,54,0,0,32767,0,0
131,1086417,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,55,0,0,32767,0,0
132,1095618,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,56,0,0,32767,0,0
133,1104819,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,57,0,0,32767,0,0
134,1114020,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,58,0,0,32767,0,0
135,1123221,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,59,0,0,32767,0,0
136,1132422,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,60,0,0,32767,0,0
137,1141623,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,61,0,0,32767,0,0
138,1150824,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,62,0,0,32767,0,0
139,1160025,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,63,0,0,32767,0,0
140,1169226,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,64,0,0,32767,0,0
141,1178427,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,65,0,0,32767,0,0
142,1187628,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,66,0,0,32767,0,0
143,1196829,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,67,0,0,32767,0,0
144,1206030,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,68,0,0,32767,0,0
145,1215231,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,69,0,0,32767,0,0
146,1224432,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,70,0,0,32767,0,0
147,1233633,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,71,0,0,32767,0,0
148,1242834,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,72,0,0,32767,0,0
149,1252035,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,73,0,0,32767,0,0
150,1261236,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,74,0,0,32767,0,0
151,1270437,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,75,0,0,32767,0,0
152,1279638,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,76,0,0,32767,0,0
153,1288839,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,77,0,0,32767,0,0
154,1298040,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,78,0,0,32767,0,0
155,1307241,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,79,0,0,32767,0,0
156,1316442,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,80,0,0,32767,0,0
157,1325643,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,81,0,0,32767,0,0
158,1334844,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,82,0,0,32767,0,0
159,1344045,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,83,0,0,32767,0,0
160,1353246,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,84,0,0,32767,0,0
161,1362447,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,85,0,0,32767,0,0
162,1371648,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,86,0,0,32767,0,0
163,1380849,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,87,0,0,32767,0,0
164,1390050,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,88,0,0,32767,0,0
165,1399251,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,89,0,0,32767,0,0
166,1408452,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,90,0,0,32767,0,0
167,1417653,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,91,0,0,32767,0,0
168,1426854,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,92,0,0,32767,0,0
169,1436055,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,93,0,0,32767,0,0
170,1445256,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,94,0,0,32767,0,0
171,1454457,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,95,0,0,32767,0,0
172,1463658,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,96,0,0,32767,0,0
173,1472859,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,97,0,0,32767,0,0
174,1482060,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,98,0,0,32767,0,0
175,1491261,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,99,0,0,32767,0,0
176,1500462,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,100,0,0,32767,0,0
177,1509663,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,101,0,0,32767,0,0
178,1518864,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,102,0,0,32767,0,0
179,1528065,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,103,0,0,32767,0,0
180,1537266,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,104,0,0,32767,0,0
181,1546467,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,105,0,0,32767,0,0
182,1555668,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,106,0,0,32767,0,0
183,1564869,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,107,0,0,32767,0,0
184,1574070,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,108,0,0,32767,0,0
185,1574070,65352,0,9201,-106,29,0,29169,29392,0,0,0,0,1,0,3,0,108,0,0,32767,0,0
